Nome_prodotto,Marca,Prezzo_unitario,Quantità_pacco,Codice_prodotto,Provenienza,Descrizione
Marcatore indelebile,Pilot,7.51,5,536CD,Olanda,"pennarello, evidenziatore, marker, scrittore"
Porta documenti,Navigator,2.43,25,142AB,Polonia,"portafile, raccoglitore, busta, custodia"
Etichette adesive,Navigator,28.11,25,602EF,Spagna,"etichette, adesivi, segnalibri, marcatori"
Evidenziatore,Pilot,19.35,50,715EF,UK,"marcatore, sottolineatore, pennarello, evidenziatore"
Gessetti colorati,Navigator,31.25,20,204CD,Germania,"pastelli, colori, creta, articoli per disegno"
Cartuccia stampante,Navigator,37.54,100,152MN,Cina,"cartuccia, toner, inchiostro, stampante"
Raccoglitore ad anelli,Epson,15.33,25,729AB,USA,"archivio, raccoglitore, classificatore, cartella"
Risma A4,Pilot,33.17,25,303CD,Spagna,"carta, foglio, risma, stampa"
Porta documenti,Pentel,46.05,20,418XZ,Olanda,"custodia, trasportino, fascicolo, portafoglio"
Lavagna bianca,Canon,0.0,100,479MN,Francia,"tavolozza, superficie scrivibile, bacheca, pannello"
busta trasparente,Moleskine,27.36,50,624XZ,Olanda,"sacchetto, custodia, involucro, contenitore"
Etichette adesive,Brother,1.3,200,834MN,Spagna,"etichette, adesivi, sticker, marchi"
Busta trasparente,Epson,45.16,20,433CD,Polonia,"sacchetto, contenitore, tasca, imballaggio"
risma carta A4,Esselte,43.33,20,817XZ,Olanda,"carta, foglio, risma, stampa"
Temperamatite,Epson,6.05,25,778CD,Spagna,"cutter, affilatoio, raschietto, affilatore"
Agenda 2025,Faber Castell,20.07,20,372EF,Cina,"calendario, diario, planner, taccuino"
Gessetti colorati,Moleskine,39.55,20,857EF,UK,"pastelli, gessi, colori, strumenti"
AGENDA 2025,Oxford,4.35,10,240AB,Spagna,"quaderno, diario, agenda, pianificatore"
Agenda 2025,Navigator,38.16,25,494CD,Cina,"planner, diario, calendario, taccuino"
Lavagna bianca,Stabilo,13.36,10,577EF,Spagna,"superficie scrivibile, pannello bianco, tavoletta, supporto per scrittura"
Evidenziatore,Bic,43.33,50,119AB,Polonia,"markeur, evidenziatore, sottolineatore, pennarello"
Agenda 2025,Esselte,31.25,50,290EF,Cina,"calendario, planner, diario, agenda"
Penna,Stabilo,2.43,25,140XZ,Spagna,"biro, stilografica, penna a inchiostro, scrittore"
Quaderno A4,Canon,19.35,5,299AB,Cina,"taccuino, blocco, diario, notes"
Raccoglitore ad anelli,Brother,20.49,5,764CD,Spagna,"portadocumenti, raccoglitore, fascicolo, organizer"
evidenziatore,Pilot,28.11,100,464XZ,Portogallo,"marcatore, highlighter, pennarello, segnapagina"
Etichette adesive,Pilot,38.27,25,618CD,Italia,"etichette, adesivi, segnalibri, marcatori"
porta documenti,Navigator,20.59,50,707EF,Portogallo,"portafoglio, raccoglitore, custodia, busta"
carta fotografica,Stabilo,28.11,200,163MN,Germania,"stampa, fotografia, immagine, carta"
Busta trasparente,Navigator,19.35,10,929EF,Italia,"sacchetto, custodia, involucro, contenitore"
Carta fotografica,Oxford,37.19,50,482AB,Cina,"carta, foglio, stampa, immagine"
notes adesivi,Bic,38.28,5,410XZ,Italia,"annotazioni, promemoria, attaccatutto, adesivi"
Pennarelli colorati,Bic,47.33,100,851AB,Cina,"marker, pennarello, scrittore, evidenziatore"
Penna blu,Epson,36.09,10,750AB,Francia,"scrittore, inchiostro, stilografica, biro"
Raccoglitore ad anelli,Epson,39.12,25,525EF,Polonia," raccoglitore, archiviatore, fascicolo, cartella"
Busta trasparente,Navigator,25.43,100,289CD,Olanda,"sacchetto, involucro, confezione, copertura"
Quaderno A4,Leitz,13.12,500,798CD,UK,"libro, taccuino, agenda, quaderno"
Lavagna bianca,Navigator,1.13,5,101AB,Olanda,"tablò, pannello, superficie scrivibile, bacheca"
Quaderno A4,Epson,19.35,20,975MN,Spagna,"notebook, diario, taccuino, blocco"
Porta documenti,HP,44.06,100,450MN,Francia,"custodia, portafoglio, raccoglitore, documento"
